time_enter_speed_band_s,time_enter_freq_band_s,max_speed_overshoot_pct,min_speed_undershoot_pct,max_freq_overshoot_pct,min_freq_undershoot_pct,speed_iae,freq_iae,time_outside_speed_limits_s,time_outside_freq_limits_s,max_fuel_temp_c,control_effort_sum_sq_diff,power_tracking_iae,Scenario,Controller
0.01,0.01,0.842768195798486,0,0.8427681957985554,0,3.882513086040906,0.1294171028680389,0.0,0.01,644.492948530291,0.0,94.4672720385479,stable,PID
0.01,0.01,0.8386794751167674,0,0.8386794751167058,0,3.6453164600563195,0.12151054866853919,0.0,0.01,644.4929485298459,0.0,94.0,stable,FLC
0.01,0.01,0.842768195798486,0,0.8427681957985554,0,3.882513086040906,0.1294171028680389,0.0,0.01,644.492948530291,0.0,94.4672720385479,gradual_increase,PID
0.01,0.01,0.8386794751167674,0,0.8386794751167058,0,3.6453164600563195,0.12151054866853919,0.0,0.01,644.4929485298459,0.0,94.0,gradual_increase,FLC
0.01,0.01,0.842768195798486,0,0.8427681957985554,0,3.882513086040906,0.1294171028680389,0.0,0.01,644.492948530291,0.0,94.4672720385479,sudden_load_increase,PID
0.01,0.01,0.8386794751167674,0,0.8386794751167058,0,3.6453164600563195,0.12151054866853919,0.0,0.01,644.4929485298459,0.0,94.0,sudden_load_increase,FLC
0.01,0.01,0.842768195798486,0,0.8427681957985554,0,3.882513086040906,0.1294171028680389,0.0,0.01,644.492948530291,0.0,94.4672720385479,emergency_shutdown,PID
0.01,0.01,0.8386794751167674,0,0.8386794751167058,0,3.6453164600563195,0.12151054866853919,0.0,0.01,644.4929485298459,0.0,94.0,emergency_shutdown,FLC
0.01,0.01,0.842768195798486,0,0.8427681957985554,0,3.882513086040906,0.1294171028680389,0.0,0.01,644.492948530291,0.0,94.4672720385479,oscillating_load,PID
0.01,0.01,0.8386794751167674,0,0.8386794751167058,0,3.6453164600563195,0.12151054866853919,0.0,0.01,644.4929485298459,0.0,94.0,oscillating_load,FLC
0.01,0.01,0.8410092006768967,0,0.8410092006768485,0,3.877219609028664,0.12924065363427928,0.0,0.01,644.492948530291,0.0,94.2712720385479,fluctuating_demand,PID
0.01,0.01,0.837061718563733,0,0.8370617185638095,0,3.6406433785377272,0.12135477928459779,0.0,0.01,644.4929485298459,0.0,93.81983333333332,fluctuating_demand,FLC
